,scode,Statename,gwid
,OMA,Oman,698
,AFG,Afghanistan,700
,AFG,Afghanistan,700
,TKM,Turkmenistan,701
,TAJ,Tajikistan,702
,KYR,Kyrgyz Republic,703
,UZB,Uzbekistan,704
,KZK,Kazakhstan,705
,CHN,China,710
,TBT,Tibet,711
,MON,Mongolia,712
,TAW,Taiwan,713
,KOR,Korea,730
,PRK,"Korea, People's Republic of",731
,ROK,"Korea, Republic of",732
,JPN,Japan,740
,IND,India,750
,BHU,Bhutan,760
,PAK,Pakistan,770
,BNG,Bangladesh,771
,MYA,Myanmar (Burma),775
,MYA,Myanmar (Burma),775
,SRI,Sri Lanka (Ceylon),780
,MAD,Maldives,781
,NEP,Nepal,790
,THI,Thailand,800
,CAM,Cambodia (Kampuchea),811
,LAO,Laos,812
,VNM,Vietnam (Annam/Cochin China/Tonkin),815
,DRV,"Vietnam, Democratic Republic of",816
,RVN,"Vietnam, Republic of",817
,MAL,Malaysia,820
,SIN,Singapore,830
,BRU,Brunei,835
,PHI,Philippines,840
,INS,Indonesia,850
,ETM,East Timor,860
,AUL,Australia,900
,PNG,Papua New Guinea,910
,NEW,New Zealand,920
,SOL,Solomon Islands,940
,FJI,Fiji,950
