statename,region
Botswana,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
"Congo, Rep",Sub-Saharan Africa
Côte d'Ivoire,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
"Gambia, The",Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
São Tomé and Principe,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Sudan,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Afghanistan,South Asia
Bangladesh,South Asia
Bhutan,South Asia
India,South Asia
Maldives,South Asia
Nepal,South Asia
Pakistan,South Asia
Sri Lanka,South Asia
